기간,휘발유(92RON),등유,경유(0.05%),나프타
20년01월,69.12,75.40,76.06,60.88
20년02월,62.57,63.05,64.67,52.33
20년03월,35.19,39.32,44.46,30.28
20년04월,19.45,21.26,28.75,17.31
20년05월,30.83,28.89,33.97,26.31
20년06월,42.80,41.20,46.12,38.98
20년07월,44.81,43.94,49.91,43.49
20년08월,46.98,43.30,48.03,42.91
20년09월,45.68,39.33,43.35,43.01
20년10월,44.84,41.63,43.41,41.73
20년11월,45.54,45.67,47.13,40.57
20년12월,52.43,53.88,54.45,47.61
21년01월,58.96,58.04,58.87,55.62
21년02월,66.40,65.16,66.74,61.64
21년03월,71.54,66.79,68.77,64.79
21년04월,71.73,66.75,67.72,62.18
21년05월,74.45,71.74,72.11,65.66
21년06월,78.88,75.94,76.80,70.52
21년07월,83.13,77.27,77.96,75.50
21년08월,78.93,74.05,73.73,70.73
21년09월,82.11,79.87,79.61,75.02
21년10월,95.79,93.05,93.48,84.25
21년11월,92.22,89.15,91.03,84.03
21년12월,85.69,83.54,84.94,77.63
22년01월,96.18,95.69,97.85,84.42
22년02월,108.31,106.20,110.04,95.48
22년03월,127.46,133.47,137.52,110.58
22년04월,123.53,134.42,139.49,96.55
22년05월,141.21,142.99,145.55,94.69
22년06월,148.85,164.32,168.54,84.34
22년07월,120.89,138.18,142.17,83.72
