,"시,도","시,군,구",행정구역,2021년_총인구수,2021년_세대수,2021년_세대당 인구,2021년_남자 인구수,2021년_여자 인구수,2021년_남여 비율
0,서울특별시,서울특별시,서울특별시,"9,509,458","4,426,007",2.15,"4,618,040","4,891,418",0.94
1,서울특별시,종로구,서울특별시 종로구,"144,683","73,494",1.97,"70,183","74,500",0.94
2,서울특별시,중구,서울특별시 중구,"122,499","63,519",1.93,"59,630","62,869",0.95
3,서울특별시,용산구,서울특별시 용산구,"222,953","111,036",2.01,"107,210","115,743",0.93
4,서울특별시,성동구,서울특별시 성동구,"285,990","134,233",2.13,"139,380","146,610",0.95
5,서울특별시,광진구,서울특별시 광진구,"339,996","167,949",2.02,"164,058","175,938",0.93
6,서울특별시,동대문구,서울특별시 동대문구,"337,400","168,219",2.01,"166,646","170,754",0.98
7,서울특별시,중랑구,서울특별시 중랑구,"387,350","185,712",2.09,"191,112","196,238",0.97
8,서울특별시,성북구,서울특별시 성북구,"430,528","195,017",2.21,"207,578","222,950",0.93
9,서울특별시,강북구,서울특별시 강북구,"299,182","144,536",2.07,"145,705","153,477",0.95
10,서울특별시,도봉구,서울특별시 도봉구,"317,366","138,656",2.29,"154,487","162,879",0.95
11,서울특별시,노원구,서울특별시 노원구,"510,956","217,378",2.35,"246,053","264,903",0.93
12,서울특별시,은평구,서울특별시 은평구,"473,307","214,711",2.2,"226,458","246,849",0.92
13,서울특별시,서대문구,서울특별시 서대문구,"304,819","143,647",2.12,"145,694","159,125",0.92
14,서울특별시,마포구,서울특별시 마포구,"368,905","179,861",2.05,"173,504","195,401",0.89
15,서울특별시,양천구,서울특별시 양천구,"447,302","181,404",2.47,"219,214","228,088",0.96
16,서울특별시,강서구,서울특별시 강서구,"574,315","271,175",2.12,"276,292","298,023",0.93
17,서울특별시,구로구,서울특별시 구로구,"396,754","180,929",2.19,"195,537","201,217",0.97
18,서울특별시,금천구,서울특별시 금천구,"230,811","117,595",1.96,"116,527","114,284",1.02
19,서울특별시,영등포구,서울특별시 영등포구,"376,837","187,020",2.01,"185,926","190,911",0.97
20,서울특별시,동작구,서울특별시 동작구,"385,483","184,812",2.09,"186,426","199,057",0.94
21,서울특별시,관악구,서울특별시 관악구,"485,699","276,597",1.76,"243,991","241,708",1.01
22,서울특별시,서초구,서울특별시 서초구,"412,279","170,244",2.42,"197,034","215,245",0.92
23,서울특별시,강남구,서울특별시 강남구,"533,042","234,233",2.28,"255,047","277,995",0.92
24,서울특별시,송파구,서울특별시 송파구,"658,338","282,417",2.33,"317,346","340,992",0.93
25,서울특별시,강동구,서울특별시 강동구,"462,664","201,613",2.29,"227,002","235,662",0.96
26,부산광역시,부산광역시,부산광역시,"3,350,380","1,544,663",2.17,"1,639,044","1,711,336",0.96
27,부산광역시,중구,부산광역시 중구,"40,524","23,925",1.69,"19,755","20,769",0.95
28,부산광역시,서구,부산광역시 서구,"105,164","52,960",1.99,"50,853","54,311",0.94
29,부산광역시,동구,부산광역시 동구,"87,679","46,362",1.89,"42,877","44,802",0.96
30,부산광역시,영도구,부산광역시 영도구,"110,638","54,659",2.02,"54,471","56,167",0.97
31,부산광역시,부산진구,부산광역시 부산진구,"353,159","173,353",2.04,"170,181","182,978",0.93
32,부산광역시,동래구,부산광역시 동래구,"266,866","115,718",2.31,"129,681","137,185",0.95
33,부산광역시,남구,부산광역시 남구,"262,069","117,821",2.22,"127,955","134,114",0.95
34,부산광역시,북구,부산광역시 북구,"283,211","123,316",2.3,"139,795","143,416",0.97
35,부산광역시,해운대구,부산광역시 해운대구,"396,438","172,397",2.3,"190,624","205,814",0.93
36,부산광역시,사하구,부산광역시 사하구,"306,003","139,604",2.19,"152,197","153,806",0.99
37,부산광역시,금정구,부산광역시 금정구,"228,049","108,070",2.11,"111,513","116,536",0.96
38,부산광역시,강서구,부산광역시 강서구,"142,918","61,502",2.32,"74,047","68,871",1.08
39,부산광역시,연제구,부산광역시 연제구,"207,144","93,606",2.21,"99,761","107,383",0.93
40,부산광역시,수영구,부산광역시 수영구,"175,095","85,896",2.04,"82,609","92,486",0.89
41,부산광역시,사상구,부산광역시 사상구,"208,298","98,621",2.11,"105,034","103,264",1.02
42,부산광역시,기장군,부산광역시 기장군,"177,125","76,853",2.3,"87,691","89,434",0.98
43,대구광역시,대구광역시,대구광역시,"2,385,412","1,063,893",2.24,"1,175,632","1,209,780",0.97
44,대구광역시,중구,대구광역시 중구,"74,791","38,370",1.95,"35,948","38,843",0.93
45,대구광역시,동구,대구광역시 동구,"341,436","158,423",2.16,"167,888","173,548",0.97
46,대구광역시,서구,대구광역시 서구,"164,528","82,301",2.0,"82,241","82,287",1.0
47,대구광역시,남구,대구광역시 남구,"143,175","76,256",1.88,"68,799","74,376",0.93
48,대구광역시,북구,대구광역시 북구,"437,008","190,956",2.29,"217,420","219,588",0.99
49,대구광역시,수성구,대구광역시 수성구,"417,097","171,239",2.44,"201,689","215,408",0.94
50,대구광역시,달서구,대구광역시 달서구,"544,926","234,950",2.32,"268,498","276,428",0.97
51,대구광역시,달성군,대구광역시 달성군,"262,451","111,398",2.36,"133,149","129,302",1.03
52,인천광역시,인천광역시,인천광역시,"2,948,375","1,298,647",2.27,"1,476,373","1,472,002",1.0
53,인천광역시,중구,인천광역시 중구,"143,633","71,061",2.02,"74,679","68,954",1.08
54,인천광역시,중구영종출장소,인천광역시 중구영종출장소,0,0,0.0,0,0,0.0
55,인천광역시,중구용유출장소,인천광역시 중구용유출장소,0,0,0.0,0,0,0.0
56,인천광역시,동구,인천광역시 동구,"61,486","28,681",2.14,"30,998","30,488",1.02
57,인천광역시,미추홀구,인천광역시 미추홀구,"407,464","193,561",2.11,"205,283","202,181",1.02
58,인천광역시,연수구,인천광역시 연수구,"389,644","155,984",2.5,"193,417","196,227",0.99
59,인천광역시,남동구,인천광역시 남동구,"518,272","228,442",2.27,"257,468","260,804",0.99
60,인천광역시,부평구,인천광역시 부평구,"486,765","213,372",2.28,"240,348","246,417",0.98
61,인천광역시,계양구,인천광역시 계양구,"295,696","127,984",2.31,"147,316","148,380",0.99
62,인천광역시,서구,인천광역시 서구,"555,380","232,834",2.39,"280,398","274,982",1.02
