연도,행정구역별,인구
1995,전국,44608726
1995,읍부,3484148
1995,면부,6088105
1995,동부,35036473
1995,서울특별시,10231217
1995,종로구,190283
1995,중구,135583
1995,용산구,253841
1995,성동구,334464
1995,광진구,382269
1995,동대문구,415709
1995,중랑구,439931
1995,성북구,490310
1995,강북구,390046
1995,도봉구,356037
1995,노원구,569392
1995,은평구,485287
1995,서대문구,359873
1995,마포구,386042
1995,양천구,460655
1995,강서구,503063
1995,구로구,365039
1995,금천구,284997
1995,영등포구,413952
1995,동작구,422468
1995,관악구,548318
1995,서초구,384830
1995,강남구,534724
1995,송파구,636845
1995,강동구,487259
1995,부산광역시,3814325
1995,읍부,44839
1995,면부,23702
1995,동부,3745784
1995,중구,63658
1995,서구,174707
1995,동구,152376
1995,영도구,206133
1995,부산진구,453022
1995,동래구,311620
1995,남구,311778
1995,북구,278202
1995,해운대구,301582
1995,사하구,381319
1995,금정구,307825
1995,강서구,66567
1995,연제구,245593
1995,수영구,195561
1995,사상구,295841
1995,기장군,68541
1995,대구광역시,2449420
1995,읍부,34948
1995,면부,82074
1995,동부,2332398
1995,중구,112565
1995,동구,353862
1995,서구,345674
1995,남구,230257
1995,북구,371459
1995,수성구,440961
1995,달서구,477620
1995,달성군,117022
1995,인천광역시,2308188
1995,읍부,22163
1995,면부,55207
1995,동부,2230818
1995,중구,68082
1995,동구,100240
1995,남구,425887
1995,연수구,212632
1995,남동구,383267
1995,부평구,489621
1995,계양구,256785
1995,서구,294304
1995,강화군,64746
1995,옹진군,12624
1995,광주광역시,1257636
1995,동구,147601
1995,서구,226007
1995,남구,255206
1995,북구,459065
1995,광산구,169757
1995,대전광역시,1272121
1995,동구,272705
1995,중구,266071
1995,서구,406210
1995,유성구,124684
1995,대덕구,202451
1995,경기도,7649741
1995,읍부,717306
1995,면부,1057755
1995,동부,5874680
1995,수원시,755550
1995,장안구,254386
1995,권선구,260409
1995,팔달구,240755
1995,성남시,869094
1995,수정구,266713
1995,중원구,281465
1995,분당구,320916
1995,의정부시,276111
1995,안양시,591106
1995,만안구,262715
1995,동안구,328391
1995,부천시,779412
1995,원미구,384499
1995,소사구,206121
1995,오정구,188792
1995,광명시,350914
1995,평택시,312927
1995,동두천시,71579
1995,안산시,510314
1995,고양시,518282
1995,과천시,68077
1995,구리시,142173
1995,남양주시,229060
1995,오산시,70488
1995,시흥시,133443
1995,군포시,235233
1995,의왕시,108788
1995,하남시,115812
1995,양주군,94507
1995,여주군,92050
1995,화성군,158590
1995,파주군,163379
1995,광주군,86156
1995,연천군,52116
1995,포천군,118558
1995,가평군,49627
1995,양평군,70603
1995,이천군,155332
1995,용인군,242643
1995,안성군,120133
1995,김포군,107684
1995,강원도,1466238
1995,읍부,294519
1995,면부,353628
1995,동부,818091
1995,춘천시,234528
1995,원주시,237460
1995,강릉시,220403
1995,동해시,95472
1995,태백시,59397
1995,속초시,82009
1995,삼척시,83818
1995,홍천군,67892
1995,횡성군,42865
1995,영월군,47722
1995,평창군,45173
1995,정선군,53833
1995,철원군,49691
1995,화천군,25170
1995,양구군,23191
1995,인제군,32828
1995,고성군,36587
1995,양양군,28199
1995,충청북도,1396728
1995,읍부,202614
1995,면부,409384
1995,동부,784730
1995,청주시,531376
1995,상당구,219442
1995,흥덕구,311934
1995,충주시,205206
1995,제천시,137070
1995,청원군,112132
1995,보은군,42700
1995,옥천군,61474
1995,영동군,62002
1995,진천군,52492
1995,괴산군,42924
1995,음성군,78258
1995,단양군,40038
1995,증평출장소,31056
1995,충청남도,1766854
1995,읍부,488967
1995,면부,812218
1995,동부,465669
1995,천안시,330259
1995,공주시,131229
1995,보령시,122604
1995,아산시,154663
1995,서산시,134746
1995,금산군,63499
1995,연기군,80843
1995,논산군,146619
1995,부여군,94304
1995,서천군,79510
1995,청양군,40441
1995,홍성군,98210
1995,예산군,100143
1995,태안군,62566
1995,당진군,111723
1995,계룡출장소,15495
1995,전라북도,1902044
1995,읍부,157870
1995,면부,566083
1995,동부,1178091
1995,전주시,563153
1995,완산구,164728
1995,덕진구,269053
1995,효자출장소,129372
1995,군산시,266569
1995,익산시,322685
1995,정읍시,139111
1995,남원시,103544
1995,김제시,115427
1995,완주군,81367
1995,진안군,32105
1995,무주군,29432
1995,장수군,26887
1995,임실군,37201
1995,순창군,35337
1995,고창군,76778
1995,부안군,72448
1995,전라남도,2066842
1995,읍부,414948
1995,면부,867177
1995,동부,784717
1995,목포시,247452
1995,여수시,183596
1995,순천시,249263
1995,나주시,107831
1995,여천시,75944
1995,광양시,122052
1995,담양군,61041
1995,곡성군,41026
1995,구례군,34247
1995,여천군,54638
1995,고흥군,100884
1995,보성군,65645
1995,화순군,63816
1995,장흥군,52209
1995,강진군,49151
1995,해남군,96145
1995,영암군,55353
1995,무안군,67757
1995,함평군,48365
1995,영광군,68641
1995,장성군,52179
1995,완도군,64764
1995,진도군,42371
1995,신안군,62472
1995,경상북도,2676312
1995,읍부,493926
1995,면부,912165
1995,동부,1270221
1995,포항시,508899
1995,남구,263078
1995,북구,245821
1995,경주시,273968
1995,김천시,147027
1995,안동시,188443
1995,구미시,311431
1995,영주시,131097
1995,영천시,113511
1995,상주시,124116
1995,문경시,92239
1995,경산시,173746
1995,군위군,29696
1995,의성군,77362
1995,청송군,35061
1995,영양군,23797
1995,영덕군,51292
1995,청도군,50311
1995,고령군,31664
1995,성주군,48115
1995,칠곡군,83304
1995,예천군,62515
1995,봉화군,42968
1995,울진군,64444
1995,울릉군,11306
1995,경상남도,3845622
1995,읍부,481934
1995,면부,914197
1995,동부,2449491
1995,창원시,481694
1995,울산시,967429
1995,중구,285567
1995,남구,304755
1995,동구,191969
1995,울주구,185138
1995,마산시,441242
1995,합포구,215748
1995,회원구,225494
1995,진주시,329886
1995,진해시,125997
1995,통영시,131717
1995,사천시,113494
1995,김해시,256370
1995,밀양시,121501
1995,거제시,147562
1995,의령군,37681
1995,함안군,60343
1995,창녕군,71281
1995,양산군,163351
1995,고성군,60462
1995,남해군,60192
1995,하동군,55398
1995,산청군,43449
1995,함양군,44768
1995,거창군,70096
1995,합천군,61709
1995,제주도,505438
1995,읍부,130114
1995,면부,34515
1995,동부,340809
1995,제주시,258511
1995,서귀포시,82298
1995,북제주군,88792
1995,남제주군,75837
