연도,행정구역별,인구
2015,전국,51738071
2015,읍부,5183834
2015,면부,4534456
2015,동부,42019781
2015,서울특별시,9472127
2015,종로구,148857
2015,중구,126310
2015,용산구,221688
2015,성동구,286469
2015,광진구,347099
2015,동대문구,348201
2015,중랑구,380307
2015,성북구,435509
2015,강북구,292611
2015,도봉구,309200
2015,노원구,503929
2015,은평구,457385
2015,서대문구,314547
2015,마포구,365192
2015,양천구,433373
2015,강서구,559837
2015,구로구,426220
2015,금천구,247398
2015,영등포구,402984
2015,동작구,388094
2015,관악구,495777
2015,서초구,392302
2015,강남구,503019
2015,송파구,634720
2015,강동구,451099
2015,부산광역시,3324335
2015,읍부,142497
2015,면부,30405
2015,동부,3151433
2015,중구,41539
2015,서구,104130
2015,동구,86035
2015,영도구,112834
2015,부산진구,351201
2015,동래구,259838
2015,남구,264756
2015,북구,279815
2015,해운대구,386064
2015,사하구,305790
2015,금정구,233596
2015,강서구,142110
2015,연제구,201217
2015,수영구,170720
2015,사상구,211788
2015,기장군,172902
2015,대구광역시,2387911
2015,읍부,234617
2015,면부,30237
2015,동부,2123057
2015,중구,72834
2015,동구,332637
2015,서구,165455
2015,남구,144898
2015,북구,444446
2015,수성구,408085
2015,달서구,554702
2015,달성군,264854
2015,인천광역시,2957044
2015,읍부,21611
2015,면부,63207
2015,동부,2872226
2015,중구,141758
2015,동구,61053
2015,연수구,399594
2015,남동구,521165
2015,부평구,494641
2015,계양구,290967
2015,서구,551026
2015,미추홀구,412022
2015,강화군,65834
2015,옹진군,18984
2015,광주광역시,1475262
2015,동구,108676
2015,서구,290565
2015,남구,216266
2015,북구,436997
2015,광산구,422758
2015,대전광역시,1479740
2015,동구,233721
2015,중구,227326
2015,서구,475671
2015,유성구,367288
2015,대덕구,175734
2015,울산광역시,1120753
2015,읍부,191057
2015,면부,33107
2015,동부,896589
2015,중구,209555
2015,남구,315307
2015,동구,155578
2015,북구,216149
2015,울주군,224164
2015,세종특별자치시,366227
2015,읍부,47774
2015,면부,50376
2015,동부,268077
2015,세종시,366227
2015,경기도,13652529
2015,읍부,1535737
2015,면부,787819
2015,동부,11328973
2015,수원시,1208337
2015,장안구,277786
2015,권선구,368924
