"행정구역별(읍면동)","연령별","항목","단위","2021 년",
"전국","합계","총인구(명)","","51738071",
"전국","합계","총인구_남자(명)","","25850044",
"전국","합계","총인구_여자(명)","","25888027",
"전국","0~4세","총인구(명)","","1570409",
"전국","0~4세","총인구_남자(명)","","805852",
"전국","0~4세","총인구_여자(명)","","764557",
"전국","5~9세","총인구(명)","","2212372",
"전국","5~9세","총인구_남자(명)","","1133426",
"전국","5~9세","총인구_여자(명)","","1078946",
"전국","10~14세","총인구(명)","","2304690",
"전국","10~14세","총인구_남자(명)","","1186319",
"전국","10~14세","총인구_여자(명)","","1118371",
"전국","15~19세","총인구(명)","","2313299",
"전국","15~19세","총인구_남자(명)","","1198911",
"전국","15~19세","총인구_여자(명)","","1114388",
"전국","20~24세","총인구(명)","","3223654",
"전국","20~24세","총인구_남자(명)","","1681183",
"전국","20~24세","총인구_여자(명)","","1542471",
"전국","25~29세","총인구(명)","","3663127",
"전국","25~29세","총인구_남자(명)","","1954718",
"전국","25~29세","총인구_여자(명)","","1708409",
"전국","30~34세","총인구(명)","","3332272",
"전국","30~34세","총인구_남자(명)","","1759768",
"전국","30~34세","총인구_여자(명)","","1572504",
"전국","35~39세","총인구(명)","","3622347",
"전국","35~39세","총인구_남자(명)","","1877724",
"전국","35~39세","총인구_여자(명)","","1744623",
"전국","40~44세","총인구(명)","","3981710",
"전국","40~44세","총인구_남자(명)","","2038116",
"전국","40~44세","총인구_여자(명)","","1943594",
"전국","45~49세","총인구(명)","","4134223",
"전국","45~49세","총인구_남자(명)","","2100431",
"전국","45~49세","총인구_여자(명)","","2033792",
"전국","50~54세","총인구(명)","","4477633",
"전국","50~54세","총인구_남자(명)","","2243979",
"전국","50~54세","총인구_여자(명)","","2233654",
"전국","55~59세","총인구(명)","","4097916",
"전국","55~59세","총인구_남자(명)","","2064943",
"전국","55~59세","총인구_여자(명)","","2032973",
"전국","60~64세","총인구(명)","","4097858",
"전국","60~64세","총인구_남자(명)","","2016321",
"전국","60~64세","총인구_여자(명)","","2081537",
"전국","65~69세","총인구(명)","","2976607",
"전국","65~69세","총인구_남자(명)","","1433783",
"전국","65~69세","총인구_여자(명)","","1542824",
"전국","70~74세","총인구(명)","","2089644",
"전국","70~74세","총인구_남자(명)","","975415",
"전국","70~74세","총인구_여자(명)","","1114229",
"전국","75~79세","총인구(명)","","1584604",
"전국","75~79세","총인구_남자(명)","","685723",
"전국","75~79세","총인구_여자(명)","","898881",
"전국","80~84세","총인구(명)","","1178836",
"전국","80~84세","총인구_남자(명)","","447622",
"전국","80~84세","총인구_여자(명)","","731214",
"전국","85~89세","총인구(명)","","617681",
"전국","85~89세","총인구_남자(명)","","189457",
"전국","85~89세","총인구_여자(명)","","428224",
"전국","90~94세","총인구(명)","","208758",
"전국","90~94세","총인구_남자(명)","","47148",
"전국","90~94세","총인구_여자(명)","","161610",
"전국","95~99세","총인구(명)","","43868",
"전국","95~99세","총인구_남자(명)","","8149",
"전국","95~99세","총인구_여자(명)","","35719",
"전국","100세이상","총인구(명)","","6563",
"전국","100세이상","총인구_남자(명)","","1056",
"전국","100세이상","총인구_여자(명)","","5507",
"전국","15세미만","총인구(명)","","6087471",
"전국","15세미만","총인구_남자(명)","","3125597",
"전국","15세미만","총인구_여자(명)","","2961874",
"전국","15~64세","총인구(명)","","36944039",
"전국","15~64세","총인구_남자(명)","","18936094",
"전국","15~64세","총인구_여자(명)","","18007945",
"전국","65세이상","총인구(명)","","8706561",
"전국","65세이상","총인구_남자(명)","","3788353",
"전국","65세이상","총인구_여자(명)","","4918208",
"전국","85세이상","총인구(명)","","876870",
"전국","85세이상","총인구_남자(명)","","245810",
"전국","85세이상","총인구_여자(명)","","631060",
"전국","평균연령","총인구(명)","","43.5",
"전국","평균연령","총인구_남자(명)","","42.3",
"전국","평균연령","총인구_여자(명)","","44.7",
"전국","중위연령","총인구(명)","","44.5",
"전국","중위연령","총인구_남자(명)","","43.1",
"전국","중위연령","총인구_여자(명)","","46",
"종로구","합계","총인구(명)","","148857",
"종로구","합계","총인구_남자(명)","","71367",
"종로구","합계","총인구_여자(명)","","77490",
"종로구","0~4세","총인구(명)","","2790",
"종로구","0~4세","총인구_남자(명)","","1397",
"종로구","0~4세","총인구_여자(명)","","1393",
"종로구","5~9세","총인구(명)","","4039",
"종로구","5~9세","총인구_남자(명)","","2040",
"종로구","5~9세","총인구_여자(명)","","1999",
"종로구","10~14세","총인구(명)","","4588",
"종로구","10~14세","총인구_남자(명)","","2284",
"종로구","10~14세","총인구_여자(명)","","2304",
"종로구","15~19세","총인구(명)","","6938",
"종로구","15~19세","총인구_남자(명)","","3461",
"종로구","15~19세","총인구_여자(명)","","3477",
"종로구","20~24세","총인구(명)","","13844",
"종로구","20~24세","총인구_남자(명)","","5863",
"종로구","20~24세","총인구_여자(명)","","7981",
"종로구","25~29세","총인구(명)","","14243",
"종로구","25~29세","총인구_남자(명)","","7192",
"종로구","25~29세","총인구_여자(명)","","7051",
"종로구","30~34세","총인구(명)","","10782",
"종로구","30~34세","총인구_남자(명)","","5416",
"종로구","30~34세","총인구_여자(명)","","5366",
"종로구","35~39세","총인구(명)","","9502",
"종로구","35~39세","총인구_남자(명)","","4744",
"종로구","35~39세","총인구_여자(명)","","4758",
"종로구","40~44세","총인구(명)","","9816",
"종로구","40~44세","총인구_남자(명)","","4756",
"종로구","40~44세","총인구_여자(명)","","5060",
"종로구","45~49세","총인구(명)","","10965",
"종로구","45~49세","총인구_남자(명)","","5355",
"종로구","45~49세","총인구_여자(명)","","5610",
"종로구","50~54세","총인구(명)","","12631",
"종로구","50~54세","총인구_남자(명)","","6118",
"종로구","50~54세","총인구_여자(명)","","6513",
"종로구","55~59세","총인구(명)","","11673",
"종로구","55~59세","총인구_남자(명)","","5864",
"종로구","55~59세","총인구_여자(명)","","5809",
"종로구","60~64세","총인구(명)","","11187",
"종로구","60~64세","총인구_남자(명)","","5467",
"종로구","60~64세","총인구_여자(명)","","5720",
"종로구","65~69세","총인구(명)","","8394",
"종로구","65~69세","총인구_남자(명)","","4104",
"종로구","65~69세","총인구_여자(명)","","4290",
"종로구","70~74세","총인구(명)","","5932",
"종로구","70~74세","총인구_남자(명)","","2664",
"종로구","70~74세","총인구_여자(명)","","3268",
"종로구","75~79세","총인구(명)","","5121",
"종로구","75~79세","총인구_남자(명)","","2164",
"종로구","75~79세","총인구_여자(명)","","2957",
"종로구","80~84세","총인구(명)","","3754",
"종로구","80~84세","총인구_남자(명)","","1552",
"종로구","80~84세","총인구_여자(명)","","2202",
"종로구","85~89세","총인구(명)","","1813",
"종로구","85~89세","총인구_남자(명)","","684",
"종로구","85~89세","총인구_여자(명)","","1129",
"종로구","90~94세","총인구(명)","","671",
"종로구","90~94세","총인구_남자(명)","","182",
"종로구","90~94세","총인구_여자(명)","","489",
"종로구","95~99세","총인구(명)","","153",
"종로구","95~99세","총인구_남자(명)","","51",
"종로구","95~99세","총인구_여자(명)","","102",
"종로구","100세이상","총인구(명)","","21",
"종로구","100세이상","총인구_남자(명)","","9",
"종로구","100세이상","총인구_여자(명)","","12",
"종로구","15세미만","총인구(명)","","11417",
"종로구","15세미만","총인구_남자(명)","","5721",
"종로구","15세미만","총인구_여자(명)","","5696",
"종로구","15~64세","총인구(명)","","111581",
"종로구","15~64세","총인구_남자(명)","","54236",
"종로구","15~64세","총인구_여자(명)","","57345",
"종로구","65세이상","총인구(명)","","25859",
"종로구","65세이상","총인구_남자(명)","","11410",
"종로구","65세이상","총인구_여자(명)","","14449",
"종로구","85세이상","총인구(명)","","2658",
"종로구","85세이상","총인구_남자(명)","","926",
"종로구","85세이상","총인구_여자(명)","","1732",
"종로구","평균연령","총인구(명)","","43.9",
"종로구","평균연령","총인구_남자(명)","","43.4",
"종로구","평균연령","총인구_여자(명)","","44.4",
"종로구","중위연령","총인구(명)","","43.9",
"종로구","중위연령","총인구_남자(명)","","43.3",
"종로구","중위연령","총인구_여자(명)","","44.4",
"중구","합계","총인구(명)","","126310",
"중구","합계","총인구_남자(명)","","60657",
"중구","합계","총인구_여자(명)","","65653",
"중구","0~4세","총인구(명)","","3118",
"중구","0~4세","총인구_남자(명)","","1624",
"중구","0~4세","총인구_여자(명)","","1494",
"중구","5~9세","총인구(명)","","3368",
