연,월,일,시,분,지역,송출내용
2021,02,01,09,46,강북구,"[강북구청]확진자5명(620~624번)발생, 동선( www.gangbuk.go.kr/intro_gb.jsp )공개예정. 설명절 비대면으로 부모님건강 지켜드립시다"
2021,02,01,10,00,노원구,"[노원구청] 오늘(2.1.) 오전 확진자 2명 발생(1047~1048번). 역학조사 후 구 홈페이지, blog.naver.com/goodnowon 공개하겠습니다."
2021,02,01,10,00,광진구,[광진구청] 타지역(중랑구)확진자 관내 동선 알림.상호 공개된 업소 홈페이지( han.gl/K79LX ) 확인 후 동시간대 이용자는 검사바랍니다.
2021,02,01,10,09,도봉구,[도봉구청] 2.1(월) 확진자 1명 발생(748번). 역학조사결과 이동동선 및 조치사항 홈페이지(m.dobong.go.kr) 공개예정입니다.
2021,02,01,10,13,성북구,"[성북구청] 1020~1023번(4명) 확진자 발생. 거주지 방역 완료. 자세한 사항은 홈페이지, 블로그 참고바랍니다. blog.naver.com/storysb"
2021,02,01,10,59,중랑구,"[중랑구청] 2021.2.1(월)부터 평일 코로나 검사 보건소선별진료소 운영시간이 9시~18시로 변경되어 운영됩니다. (토, 일, 공휴일 9시~18시 운영)"
2021,02,01,11,23,중랑구,[중랑구청] 2.1.(월) 확진자 2명(1006~1007번) 발생. 역학조사 진행 중. 완료 즉시 홈페이지 공개 예정입니다.
2021,02,01,11,29,강동구,"[강동구청]2. 1.(월) 10시 기준 확진자 4명 발생 및 역학조사 결과 안내, 세부 내용은 홈페이지(c19.gd.go.kr) 참고해 주시기 바랍니다."
2021,02,01,11,39,동작구,"[동작구청]1,008~1,010번째 확진자(3명)발생(완치자886명),홈페이지및블로그 등 확인해 주시기바랍니다. blog.naver.com/dongjaksaran"
2021,02,01,15,36,금천구,"[금천구청]401~402번째 확진자 발생(2명), 거리두기 2.5단계 및 5인이상 모임금지 2월14일까지 유지, 카카오톡채널 pf.kakao.com/_hUpLxb"
2021,02,01,16,16,성동구,[성동구청] 587-590번 확진자 발생/ 금일 21시부로 한파주의보가 발효되었으니 동파사고 예방에 유의해 주시기 바랍니다. c19.sd.go.kr
2021,02,01,16,17,서대문구,"[서대문구청]코로나19. 658~662번째 확진자 발생. 역학조사중. 자세한 사항 구홈페이지, 블로그 공개 예정입니다.blog.naver.com/sdmstory"
2021,02,01,16,27,마포구,[마포구청] 확진자 8명 발생. 역학조사 진행 중이며 상세 내용은 추후 홈페이지 및 블로그 참고 바랍니다. blog.naver.com/prmapo77
2021,02,01,16,55,강남구,[강남구청] 1172~1178번 확진자 발생(gangnam.go.kr). 거리두기 2.5단계와 ‘5인 이상 사적모임 금지’ 준수 바랍니다
2021,02,01,16,56,강서구,[강서구청] 강서구 코로나19 확진자 4명 발생 안내. 상세내용은 블로그 참조바랍니다. blog.naver.com/gangseokkachi
2021,02,01,17,26,종로구,"[종로구청]관내 539~541번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401"
2021,02,01,17,31,도봉구,[도봉구청] 2.1(월) 확진자 1명 추가 발생(749번). 역학조사결과 이동동선 및 조치사항 홈페이지(m.dobong.go.kr) 공개예정입니다.
2021,02,01,17,33,송파구,"[송파구청]2.1(월) 17시30분 현재 코로나19 확진자 3명 추가발생, 역학조사 진행중. 관련내용은 홈페이지(www.songpa.go.kr)를 참고바랍니다."
