카테고리 대분류필수,카테고리 중분류필수,카테고리 소분류필수,대화명(255 이내) - 필수,"답변내용(4,000자 이내) - 필수",동작방식1,동작명1,동작값1,동작방식2,동작명2,동작값2
환경정보공개,정보공개,제도 안내 및 절차,환경정보의 공개 절차,"환경정보를 등록하는 기관·기업 등은 전년도 환경정보를 6월 말까지?환경정보공개검증시스템(www.env-info.kr)에 등록하게 됩니다. 등록된 환경정보는 한국환경산업기술원의 적정성, 일관성, 신뢰성 등 환경정보 검증을 거쳐 최종 확인 후에 당해년도 12월에 환경정보공개시스템을?통해 대중에게 공개될 예정입니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
가정용보일러인증,기타,보조금,가정용 보일러 지원 보조금 여부,"「가정용 저녹스 보일러 설치 지원 보조금 업무처리지침」에 따라 가정용 보일러 인증이 아닌, 한국환경산업기술원의 환경표지 인증을 받은 제품만 보조금 지원 대상이에요. 대상 제품은 아래 페이지에서 확인해주세요.보조금 지급 대상제품은 환경표지인증 홈페이지(http://el.keiti.re.kr)→정보마당→인증현황 자료실→보일러 인증 현황에서 최근 환경표지인증제품 목록을 확인해 주세요",웹링크,바로가기,http://el.keiti.re.kr/service/page.domMenu=6&sMenu=12※ 향후 시스템 개발 완료시 인증정보 통합 검색 기능 별도 구현 예정,,,
가정용보일러인증,기타,컨설팅,방문 상담 가능,"한국환경산업기술원으로 방문 시 상담은 수시로 제공하고 있어요.별도 연락 없이 방문하셔도 상담이 가능하고, 방문 상담 이외에도 온라인 또는 유선 전화로도 상담이 가능해요.※ 지금은 코로나19로 인해 비대면 상담만 가능해요(업무시간:09:00~18:00)",전화걸기,바로전화,"02-2284-1543, 1550, 1551, 1557",,,
가정용보일러인증,기타,컨설팅,가정용 보일러 컨설팅 신청 방법,1종 또는 2종의 현장 설치 조건에 따라 보일러 종류 선택이 곤란한 경우 가정용 보일러 설치 현장컨설팅을 신청할 수 있어요.컨설팅 신청은 해당 지방자치단체에 확인하신 후 가정용 보일러 설치 현장컨설팅 신청서를 작성하여 신청해주세요.,,,,,,
가정용보일러인증,인증관리,사후관리,인증제품 사후관리(인증검사) 방식,가정용 보일러 인증 받은 보일러에 대해 설치 전에 인증기준을 만족하는지 대표시료 검사를 해요. 진행절차는 아래를 봐주세요사전예고 → 시중제품 구매 또는 생산현장 시료수거 → 시험분석 → 인증 유지 또는 취소 ,,,,,,
가정용보일러인증,인증관리,인증갱신,갱신업무 절차,가정용 보일러 인증기간이 별도로 없기 때문에 인증에 대한 갱신이 따로 없어요,,,,,,
가정용보일러인증,인증신청,변경신청,"상호, 대표자, 주소 변경 시","변경신청서와 첨부자료를 한국환경산업기술원으로 아래 서류를 제출해주시면 됩니다1. 변경신청서2. 변경내용을 입증할 수 있는 자료(사업자등록증 등)※ 상호, 대표자, 주소를 변경하려는 경우 변경사유 발생일로 부터 15일 이내에 신청",,,,,,
가정용보일러인증,인증신청,변경신청,제품명 변경 시,변경신청서와 첨부자료를 한국환경산업기술원으로 아래 서류를 제출해주시면 됩니다1. 인증제품 변경신청서2. 인증제품과 동일성을 입증할 수 있는 자료(부품내역서 등),,,,,,
가정용보일러인증,인증신청,신규신청,신청서 접수 기간,"가정용 보일러 인증 신청기간은 별도로 정해져 있지 않아요. 제조기업 전체에 심사일정을 심사위원회 2주전에 안내하고 있고, 인증심사위원회 개최일 1주일전까지 신청하여야 해당 차수 심사를 받을 수 있어요",,,,,,
가정용보일러인증,인증신청,신규신청,인증업무 절차,인증업무 진행 순서는 아래를 확인해주세요!인증신청서 제출(시험성적서 포함) → 접수 → 접수증 통보 → 서류검토 및 자료보완 → 인증심사위원회 심사 → 심의결과 통보 → 인증서 교부 → 인증서 사용,,,,,,
