기간,Dubai,Brent,WTI
20년01월02일,65.69,66.25,61.18
20년01월03일,67.79,68.60,63.05
20년01월06일,69.65,68.91,63.27
20년01월07일,68.34,68.27,62.70
20년01월08일,69.24,65.44,59.61
20년01월09일,66.17,65.37,59.56
20년01월10일,65.93,64.98,59.04
20년01월13일,65.68,64.20,58.08
20년01월14일,64.78,64.49,58.23
20년01월15일,64.61,64.00,57.81
20년01월16일,64.74,64.62,58.52
20년01월17일,65.10,64.85,58.54
20년01월20일,65.24,65.20,
20년01월21일,64.27,64.59,58.34
20년01월22일,64.26,63.21,56.74
20년01월23일,62.77,62.04,55.59
20년01월24일,62.23,60.69,54.19
20년01월27일,,59.32,53.14
20년01월28일,58.57,59.51,53.48
20년01월29일,59.37,59.81,53.33
20년01월30일,57.76,58.29,52.14
20년01월31일,58.45,58.16,51.56
20년02월03일,55.23,54.45,50.11
20년02월04일,53.99,53.96,49.61
20년02월05일,53.57,55.28,50.75
20년02월06일,55.18,54.93,50.95
20년02월07일,54.37,54.47,50.32
20년02월10일,53.33,53.27,49.57
20년02월11일,53.03,54.01,49.94
20년02월12일,54.23,55.79,51.17
20년02월13일,54.54,56.34,51.42
20년02월14일,55.23,57.32,52.05
20년02월17일,55.98,57.67,
20년02월18일,55.11,57.75,52.05
20년02월19일,56.39,59.12,53.29
20년02월20일,56.92,59.31,53.78
20년02월21일,56.41,58.50,53.38
20년02월24일,54.64,56.30,51.43
20년02월25일,54.48,54.95,49.90
20년02월26일,52.28,53.43,48.73
20년02월27일,50.62,52.18,47.09
20년02월28일,49.05,50.52,44.76
20년03월02일,50.58,51.90,46.75
20년03월03일,51.72,51.86,47.18
20년03월04일,50.81,51.13,46.78
20년03월05일,50.78,49.99,45.90
20년03월06일,48.58,45.27,41.28
20년03월09일,32.87,34.36,31.13
20년03월10일,34.18,37.22,34.36
20년03월11일,34.58,35.79,32.98
20년03월12일,32.69,33.22,31.50
20년03월13일,33.93,33.85,31.73
20년03월16일,31.49,30.05,28.70
20년03월17일,30.83,28.73,26.95
20년03월18일,28.26,24.88,20.37
20년03월19일,25.82,28.47,25.22
20년03월20일,28.67,26.98,22.43
20년03월23일,24.60,27.03,23.36
20년03월24일,26.64,27.15,24.01
20년03월25일,27.05,27.39,24.49
20년03월26일,25.74,26.34,22.60
20년03월27일,25.04,24.93,21.51
20년03월30일,23.24,22.76,20.09
20년03월31일,23.43,22.74,20.48
20년04월01일,21.23,24.74,20.31
20년04월02일,21.55,29.94,25.32
20년04월03일,24.51,34.11,28.34
20년04월06일,24.87,33.05,26.08
20년04월07일,24.88,31.87,23.63
20년04월08일,23.52,32.84,25.09
20년04월09일,23.32,31.48,22.76
20년04월13일,22.31,31.74,22.41
20년04월14일,21.66,29.60,20.11
20년04월15일,19.68,27.69,19.87
20년04월16일,19.72,27.82,19.87
