2020년 OECD회원국의 경제 원유의존도(경제규모 대비 원유소비량),,,
국가,GDP(10억 달러),"일 원유소비량(1,000배럴/일)",원유의존도(배럴/GDP만달러)
한국,1638,2560,5.7
캐나다,1644,2282,5.07
칠레,253,347,5
그리스,189,244,4.7
터키,720,903,4.58
맥시코,1074,1312,4.45
리투아니아,56,61,4.01
폴란드,596,637,3.9
헝가리,155,164,3.86
라트비아,33,34,3.74
콜롬비아,272,275,3.69
벨기에,515,476,3.37
포르투갈,228,202,3.23
미국,20894,17178,3
스페인,1280,1050,2.99
네덜란드,913,746,2.98
에스토니아,31,25,2.95
슬로베니아,54,41,2.78
슬로바키아,104,78,2.73
체코,245,182,2.71
뉴질랜드,209,148,2.58
핀란드,270,178,2.41
아이슬란드,22,14,2.41
오스트레일리아,1359,890,2.39
룩셈부르크,73,45,2.37
일본,5045,3268,2.36
노르웨이,363,206,2.08
이탈리아,1885,1054,2.04
독일,3843,2045,1.94
오스트리아,433,230,1.94
이스라엘,407,213,1.91
프랑스,2624,1305,1.81
스웨덴,541,260,1.76
영국,2710,1192,1.61
덴마크,356,125,1.29
아일랜드,426,128,1.1
스위스,752,179,0.87
