url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_355b68e265c609bfb193f0f92e25f9cb,,
주제,통검,,
범위,합계,,
기간,월간 : 2020-01 ~ 2022-06,,
성별,"전체(여성,남성)",,
연령대,전체,,
날짜,아이폰 중고,날짜,갤럭시 중고
2020-01-01,100.0,2020-01-01,3.26289
2020-02-01,87.89123,2020-02-01,3.45204
2020-03-01,87.22328,2020-03-01,4.31505
2020-04-01,75.43963,2020-04-01,3.52297
2020-05-01,67.48928,2020-05-01,3.67075
2020-06-01,54.53228,2020-06-01,3.18309
2020-07-01,60.23939,2020-07-01,3.20082
2020-08-01,63.455,2020-08-01,4.09043
2020-09-01,55.11157,2020-09-01,3.56731
2020-10-01,63.94857,2020-10-01,3.49046
2020-11-01,62.83138,2020-11-01,3.16831
2020-12-01,59.55371,2020-12-01,3.41066
2021-01-01,57.91044,2021-01-01,4.54854
2021-02-01,51.55312,2021-02-01,3.91606
2021-03-01,49.19166,2021-03-01,3.93084
2021-04-01,41.74966,2021-04-01,3.47864
2021-05-01,43.39589,2021-05-01,3.63824
2021-06-01,41.52209,2021-06-01,3.13285
2021-07-01,43.9663,2021-07-01,4.06679
2021-08-01,47.99172,2021-08-01,6.37505
2021-09-01,43.65006,2021-09-01,3.90424
2021-10-01,44.90616,2021-10-01,3.95448
2021-11-01,39.45322,2021-11-01,3.47273
2021-12-01,37.49076,2021-12-01,3.35451
2022-01-01,38.1794,2022-01-01,4.10226
2022-02-01,37.23954,2022-02-01,4.50125
2022-03-01,40.05319,2022-03-01,4.10521
2022-04-01,35.3155,2022-04-01,3.92788
2022-05-01,36.84646,2022-05-01,3.60277
2022-06-01,35.27412,2022-06-01,3.588
