,2020년
0,삼성 갤럭시와이드2 2017년형 실버 특S급[새상품급] 공기계 7만5천원 팝니다 (21722)
1,삼성 갤럭시J7 32G 2017년형 골드 특S급[새상품급] 공기계 12만원 팝니다 (21720)
2,삼성 갤럭시A6+ (JEAN) 32G 2018년형 블랙 A급 공기계 12만원 팝니다 (21719)
3,삼성 갤럭시A6 32G 2018년형 블루 특S급[새상품급] 공기계 12만원 팝니다 (21718)
4,갤럭시 s9 64기가 해지폰 상태 a++팝니다
5,삼성 갤럭시A5 32G 2017년형 핑크 특S급[새상품급] 공기계 10만원 팝니다 (21717)
6,엘지 LG V20 64G 블랙 A급 공기계 7만5천원 팝니다 (21715)
7,삼성 갤럭시S7 32G 블랙 공기계 10만원 팝니다 (21713)
8,삼성 갤럭시S7 32G 실버 공기계 10만원 팝니다 (21712)
9,데이터2기가3800원팝니다
10,삼성 갤럭시S7 32G 실버 A급 공기계 11만원 팝니다 (21710)
11,(전북 전주) 아이폰 xs max 64기가 골드 팝니다
12,삼성 갤럭시S8플러스(+) 64G 오키드그레이 공기계 17만5천원 팝니다 (21707)
13,삼성 갤럭시 노트5 32G 블루 특A급 공기계 12만5천원 팝니다 (22712)
14,삼성 갤럭시 A7 64G 2018년형 골드 공기계 16만원 팝니다 (22711)
15,삼성 갤럭시와이드2 2017년형 실버 특S급[새상품급] 공기계 7만5천원 팝니다 (21722)
16,삼성 갤럭시J7 32G 2017년형 골드 특S급[새상품급] 공기계 12만원 팝니다 (21720)
17,삼성 갤럭시A6+ (JEAN) 32G 2018년형 블랙 A급 공기계 12만원 팝니다 (21719)
18,삼성 갤럭시A6 32G 2018년형 블루 특S급[새상품급] 공기계 12만원 팝니다 (21718)
19,갤럭시 s9 64기가 해지폰 상태 a++팝니다
20,삼성 갤럭시A5 32G 2017년형 핑크 특S급[새상품급] 공기계 10만원 팝니다 (21717)
21,엘지 LG V20 64G 블랙 A급 공기계 7만5천원 팝니다 (21715)
22,삼성 갤럭시S7 32G 블랙 공기계 10만원 팝니다 (21713)
23,삼성 갤럭시S7 32G 실버 공기계 10만원 팝니다 (21712)
