"","word","freq"
"1","Squid Game",655.790362844713
"2","All of Us Are Dead",214.90695661146
"3","Kingdom",212.795676647812
"5","Crash Landing on You",164.796844629987
"6","Hellbound",152.960779286718
"7","It's Okay to Not Be Okay",151.013244452266
"8","Sweet Home",143.373637744182
"9","My Name",142.365726212456
"10","Guardian: The Lonely and Great God",142.306008306044
"11","The Silent Sea",141.095712195658
"12","Vincenzo",129.896112335974
"13","Descendants of the Sun",125.067981514055
"14","Itaewon Class",114.555663325739
"15","Strong Girl Bong-soon",109.87720418722
"16","Boys Over Flowers",109.581020254422
"17","What's Wrong with Secretary Kim",109.013760599293
"18","Hometown Cha-Cha-Cha",107.074740251845
"19","The King: Eternal Monarch",106.183802907977
"20","W",101.360741907308
"21","Start-Up",99.589156036187
"22","Snowdrop",97.0721381241806
"23","Weightlifting Fairy Kim Bok-joo",94.1169485268195
"24","Tomorrow",93.888231424391
"25","Hotel del Luna",92.9408413992471
"26","Healer",91.5040982688754
"27","Stranger",90.3105752390051
"28","Vagabond",90.1665126307988
"29","Mr. Sunshine",86.1162005664439
"30","Flower of Evil",85.6037382361308
"31","Pachinko",85.5219270129012
"32","While You Were Sleeping",84.5635855436606
"33","Pinocchio",84.5576726264388
"34","Reply 1988",84.308955633432
"35","Signal",83.240615086627
"36","True Beauty",82.3468275041607
"37","Extracurricular",81.1664955508121
"38","The K2",79.5110055275369
"39","Something in the Rain",79.3914353063352
"40","Fight for My Way",79.0506166958867
"41","My Mister",78.9556837726075
"42","The Uncanny Counter",78.7083223045695
"43","City Hunter",76.9610290991486
"44","Mouse",76.8700201639105
"45","Move to Heaven",76.5963445602987
"46","Love Alarm",75.0333259292163
"47","Our Beloved Summer",73.6953187115708
"48","Romance Is a Bonus Book",73.5119037979564
"49","I'm Not a Robot",72.9109045342327
"50","D.P.",72.5189630372636
"51","Happiness",72.3602100605022
"52","Hospital Playlist",72.1872564930958
"53","Nevertheless",71.505244562899
"54","Kill Me, Heal Me",70.7884171316184
"55","She Was Pretty",70.4911341943084
"56","Suspicious Partner",70.4343666117613
"57","Mr. Queen",70.420167565833
"58","Oh My Venus",70.3846574190711
"59","Because This Is My First Life",69.0072459963445
"60","A Korean Odyssey",68.854919940408
"61","Hell Is Other People",68.7677249878168
"62","Tale of the Nine Tailed",68.4835746730557
"63","Arthdal Chronicles",66.5281895139196
"64","Oh My Ghost",66.5281895139196
"65","Extraordinary Attorney Woo",64.2806347199528
"66","Her Private Life",63.9609255717895
"67","Cheese in the Trap",63.6160357142757
"68","Hwarang: The Poet Warrior Youth",63.5137780328017
"69","It's Okay, That's Love",63.0634601017102
"70","Black",62.7136348811006
"71","Doom at Your Service",60.3821165578021
"72","My Secret Romance",58.8132638101305
"73","Prison Playbook",57.6541412215983
"74","Touch Your Heart",57.6281181368956
"75","Run On",57.323642591866
"76","Extraordinary You",56.5420197729087
"77","Beyond Evil",56.0089278597618
"78","Love in the Moonlight",55.5697759577992
"79","Sky Castle",55.5517776493246
"80","The Sound of Magic",54.5985347788748
"81","Dream High",54.4426303552648
"82","Uncontrollably Fond",54.3415126767741
"83","The King's Affection",53.9629502529282
"84","Tunnel",53.9073278877742
"85","The Bride of Habaek",53.4509120595711
"86","Juvenile Justice",52.7351874937408
"87","Doctor Stranger",52.5927751692188
"88","My Roommate Is a Gumiho",52.2781024904309
"89","The Penthouse: War in Life",52.182372502599
"90","Taxi Driver",52.1248501196886
"91","One Spring Night",51.5945733580577
"92","Rooftop Prince",51.2152321092075
"93","The World of the Married",51.0294032886923
"94","Bring It On, Ghost",50.8920425999979
"95","The Devil Judge",50.6951674225463
"96","When the Camellia Blooms",50.1896403653184
"97","Dr. Romantic",49.7091540865463
"98","Backstreet Rookie",49.6487663492256
"99","Record of Youth",49.4165964024233
"100","One Ordinary Day",48.8569340012244
